,Date,Name,Description,Topic 1,Topic 2,Topic 3,URL,Upvotes,Pricing,Reviews,Product Rating,Comments,Day Rank,Week Rank
0,2024-02-01,Tetrisly React Components,An open-source react library to shipping web apps faster,Design Tools,Developer Tools,Development,,88,Free,34,5/5 ★,11,#14,#106
0,2024-02-01,Quadratic Multiplayer,Real-time spreadsheet for developers,Productivity,Developer Tools,Data & Analytics,,83,Free,10,5/5 ★,18,#15,#108
0,2024-02-01,Resume Maker Online 4.0,The easiest way to build the perfect resume,Hiring,Artificial Intelligence,Career,,75,Free Options,38,4.5/5 ★,22,#16,#114
0,2024-02-01,Foodpot,"Easy meal inspiration, cook with what you've got",Android,Cookbooks,Cooking,,56,Free,1,5/5 ★,32,#17,#126
0,2024-02-02,PROCESIO,Build simple or advanced forms & approval flows with no-code,Productivity,Task Management,Developer Tools,,909,Free Options,77,5/5 ★,351,#1,#9
0,2024-02-02,Pictory GPT for Videos,Quickly create stunning videos right in ChatGPT,Marketing,Artificial Intelligence,Video,,789,Free,61,4.8/5 ★,274,#2,#12
0,2024-02-02,Birdbanner,Make a Twitter banner in seconds,Twitter,Maker Tools,,,405,Free Options,0,,164,#3,#31
0,2024-02-02,Morning Maker Show,Build in public show you need to know about,Marketing,Startup Lessons,Audio,,390,Free,0,,139,#4,#33
0,2024-02-02,BaliBam,Project management system for IT freelancers & agencies,Task Management,SaaS,,,355,Free Options,2,5/5 ★,103,#5,#35
0,2024-02-02,Shortcut Objectives,"Tie your high-level goals to everyday work, all in one tool",Productivity,Task Management,Developer Tools,,136,Free Options,16,5/5 ★,20,#6,#69
0,2024-02-02,Theodore AI,Understand confusing topics in 3 clicks,Chrome Extensions,Productivity,Artificial Intelligence,,114,Free Options,0,,30,#7,#73
0,2024-02-02,Vision Directory,A list of apps for Apple Vision Pro,Virtual Reality,Apple,Mixed Reality,,113,Free,0,,32,#8,#76
0,2024-02-02,Podstellar,Transcribe Youtube videos in under 3 minutes,Artificial Intelligence,YouTube,Video,,95,Free,0,,33,#9,#80
0,2024-02-02,Double Subtitles 2D,AI powered video editor,Productivity,Artificial Intelligence,Social media marketing,,89,Payment Required,1,5/5 ★,20,#10,#82
0,2024-02-02,Juno,A YouTube client for the Apple Vision Pro,Apple,,,,87,Payment Required,0,,15,#11,#103
0,2024-02-02,Monoblocc Monitor Rig,Attach any accessory to your monitor's VESA mount,Productivity,Hardware,Crowdfunding,,72,Payment Required,3,5/5 ★,15,#12,#116
0,2024-02-02,Glide,An open high-performance model gateway for your GenAI apps,Developer Tools,Artificial Intelligence,GitHub,,54,Free,0,,24,#13,#131
0,2024-02-02,Seneca,AI grading assistant,Education,Artificial Intelligence,Online Learning,,47,Free Options,1,5/5 ★,21,#14,#139
0,2024-02-02,Shilo,For everything that matters,Android,iOS,Social Network,,51,Free,0,,21,#15,#143
0,2024-02-02,CodeSlang,Transform code into explanations using modern slang & emojis,Software Engineering,Developer Tools,,,50,Free,0,,25,#16,#142
0,2024-02-02,Bezel for Apple Vision Pro,A clone of your iPhone mirrored into Apple Vision Pro,Productivity,Apple,Mixed Reality,,55,Payment Required,4,5/5 ★,12,#17,#144
0,2024-02-03,Zoom for Apple Vision Pro,Making hybrid collaboration more immersive,Meetings,Apple,Video,,432,Free,605,4.6/5 ★,70,#1,#28
0,2024-02-03,Happie,A relationship platform for the best of us!,Android,Tech,Social Networking,,307,Free Options,0,,52,#2,#38
0,2024-02-03,SocialFocus,"Hide distractions, customize UI, stay productive & focused",Browser Extensions,Productivity,User Experience,,256,Free,0,,62,#3,#43
0,2024-02-03,Pocket,Manage all your finances in one place,Android,Fintech,Finance,,206,Free,0,,38,#4,#52
0,2024-02-03,Photon 2.0,All the control you need to create professional photos,iOS,Photography,Photo & Video,,182,Free Options,1,5/5 ★,21,#5,#60
0,2024-02-03,Samwell.Ai,Empowering your academic excellence with AI,Writing,Education,Artificial Intelligence,,113,Free Options,1,5/5 ★,29,#6,#71
0,2024-02-03,spliffpay,Accepting crypto payments made easy,Fintech,Payments,Cryptocurrency,,77,Free Options,0,,28,#7,#84
0,2024-02-03,Halaska Studio,We design the right thing the right way,Web3,Design,UX Design,,82,Payment Required,1,5/5 ★,16,#8,#96
0,2024-02-03,SimilarTube,AI scanner for similar YouTube channels,Social Media,Artificial Intelligence,YouTube,,81,Free,0,,29,#9,#92
0,2024-02-03,GoGettr,"Your simple, all-in-one invoicing and payment tracking tool",Freelance,SaaS,Accounting,,70,Free Options,0,,20,#10,#105
0,2024-02-03,Picaday,Daily photo/drawing challenges,Android,Funny Games,Photography,,67,Free,0,,22,#11,#110
0,2024-02-03,Splay (beta),The only truly customizable video player for the web,Video Streaming,Photo & Video,Video,,63,Free,0,,23,#12,#121
0,2024-02-03,Zenitizer for Apple Vision Pro,Meditate in visionOS,Virtual Reality,Meditation,Augmented Reality,,50,Free Options,2,5/5 ★,20,#13,#149
0,2024-02-03,PDF merge API,Create PDF documents from data and templates,Web App,API,Developer Tools,,44,Free Options,0,,14,#14,#151
0,2024-02-03,Grade Calculator,Easiest way for students and teachers to calculate grades,Education,,,,36,Free,0,,16,#15,#189
0,2024-02-03,SpotBuzz - AI Photo Editing & Captions,"Enhance Images, Beautify Photos, Create Captions & Much More",Android,Social Media,Photography,,29,Free Options,0,,13,#16,#186
0,2024-02-03,Picky Bird,Google Chrome Extension,Productivity,User Experience,Marketing,,0,Free,0,,0,,
0,2024-02-04,MindOS Memory Twin,"Memorize, organize & amplify your thoughts",Productivity,Artificial Intelligence,Tech,,722,Free Options,113,4.8/5 ★,225,#1,#20
0,2024-02-04,BuyMicroStartups,Buy and sell micro-startups without fees,SaaS,E-Commerce,,,572,Free Options,0,,119,#2,#25
0,2024-02-04,Sensay,Dementia care with lifelike AI replicas,Health & Fitness,Artificial Intelligence,Medical,,376,Free Options,82,4.9/5 ★,66,#3,#39
0,2024-02-04,Sekker,Customer experience surveys,User Experience,Analytics,SaaS,,167,Free Options,0,,40,#4,#55
0,2024-02-04,SaaS Chatbots,Discover 150+ AI chatbots for customer support,Customer Success,SaaS,Artificial Intelligence,,252,Free,0,,73,#5,#56
0,2024-02-04,GrammarBot,"Write flawless English with AI, no subscriptions, offline",Productivity,Languages,Artificial Intelligence,,160,Free Options,1,5/5 ★,65,#6,#63
0,2024-02-04,One Day Design Sprints,"Crack a tough (design) nut open in 1 day, not weeks",Branding,Design,Web Design,,107,Payment Required,1,5/5 ★,68,#7,#97
0,2024-02-04,Invoice Pages,Create your invoice generator today,Freelance,SaaS,Accounting,,118,Free Options,1,5/5 ★,94,#8,#77
0,2024-02-04,Voxweave,Your high-quality YouTube summarizer with mind map support,Productivity,Artificial Intelligence,,,77,Payment Required,2,5/5 ★,34,#9,#100
0,2024-02-04,AiGlamorous,"Generate professional headshots, portrait shots in seconds",Design Tools,Art,Photography,,65,Free Options,0,,73,#10,#104
0,2024-02-04,Spotely,Create highly engaging SMM posts for videos with AI,Social Media,Marketing,SaaS,,48,Payment Required,0,,22,#11,#120
0,2024-02-04,Blufa,"Your privacy, preserved in a snap",Privacy,Apple,Photo & Video,,35,Payment Required,0,,33,#12,#162
0,2024-02-04,Hasty AI,Simplify car maintenance with Hasty AI,Cars,User Experience,Artificial Intelligence,,35,Free,0,,14,#13,#169
0,2024-02-04,Bodyful: Health & Food Tracker,Easy & visual tracking of nutrition and body health,Health & Fitness,Apple,Food & Drink,,40,Free,0,,8,#14,#176
0,2024-02-04,GenZ World,"Dictionary for GenZ words, add words, chatroom & microblog",Productivity,Messaging,Social Media,,30,Free,0,,15,#15,#183
0,2024-02-04,UserSketch,All of your data is now just a prompt away,Productivity,SaaS,Artificial Intelligence,,29,Free Options,0,,23,#16,#197
0,2024-02-04,Zidisha,Crowdfunding for developing country entrepreneurs,Fintech,Charity & Giving,Crowdfunding,,32,Payment Required,1,5/5 ★,16,#17,#187
0,2024-02-04,Reggie,Speech focused language tutor with a live translator,Education,Languages,Artificial Intelligence,,25,Free,0,,16,#18,#194
0,2024-02-04,Sunlight for Apple Vision Pro/VisionOS,3D movements telling you the time to the next sunrise,Virtual Reality,Time Tracking,Apple,,25,Payment Required,0,,13,#19,#195
0,2024-02-04,ReadingDojo,Generate questions to check for reading comprehension easily,Education,Artificial Intelligence,Tech,,39,Free,4,5/5 ★,19,#20,#200
0,2024-02-05,Typeframes,Video creation for makers,Design Tools,SaaS,Video,,0,Free Options,10,4.7/5 ★,311,#1,#2
0,2024-02-05,Belly Buddy,Identify food you eat that are linked to digestive issues,Health & Fitness,Productivity,Nutrition,,697,Payment Required,2,5/5 ★,129,#2,#9
0,2024-02-05,Dorik AI (Beta),AI Website Building Platform,Design Tools,Website Builder,Artificial Intelligence,,981,Free Options,147,4.6/5 ★,295,#3,#6
0,2024-02-05,Syncly,Surface real customer pains with AI feedback analysis,Productivity,Analytics,Artificial Intelligence,,951,Free Options,4,5/5 ★,247,#4,#8
0,2024-02-05,Google Slides templates by Plus AI,Create a custom Google template for free,Design Tools,Productivity,Artificial Intelligence,,398,Free,1,5/5 ★,72,#5,#21
0,2024-02-05,REI Litics,Residential real estate investing simplified,Investing,SaaS,Tech,,591,Free Options,22,5/5 ★,295,#6,#19
0,2024-02-05,AI Form Roast by WorkHack,Free AI tool to audit and optimize online forms,User Experience,Marketing,Artificial Intelligence,,478,Free,0,,129,#7,#26
0,2024-02-05,mirrorboard,Transform every website Into community platform,Chrome Extensions,Social Media,Community,,178,Free,1,5/5 ★,94,#8,#51
0,2024-02-05,AI-powered shopping assistant By Algomo,Personalised shopping experience powered by generative AI,Customer Communication,Artificial Intelligence,E-Commerce,,228,Free Options,19,4.8/5 ★,67,#9,#54
0,2024-02-05,Lungy,Spatial computing app for stress & relaxation,Virtual Reality,Health & Fitness,Augmented Reality,,152,Free Options,0,,29,#10,#60
0,2024-02-05,xtaapp,Turn website URL & HTML to Android in a few minutes,Developer Tools,Tech,,,127,Free Options,1,4/5 ★,29,#11,#72
0,2024-02-05,Podcaster Tools by Podurama,"Automate shownotes, transcripts, tweets, blogs, newsletters",Writing,Marketing,Artificial Intelligence,,76,Free Options,0,,7,#12,#77
0,2024-02-05,Howe,"Your bio, but with superpowers",Social Media,Marketing,Website Builder,,148,Free Options,0,,38,#13,#73
0,2024-02-05,A/B testing for Webflow,Test different versions of your site to improve conversions,Marketing,SaaS,Data & Analytics,,109,Free Options,1,5/5 ★,47,#14,#85
0,2024-02-05,UserBit,All-in-one UX research repository & tools for product teams,Design Tools,User Experience,UX Design,,72,Free Options,1,5/5 ★,41,#15,#100
0,2024-02-05,Go Boldly,Financial education for the game of life,Android,Money,Online Learning,,79,Free,0,,13,#16,#98
0,2024-02-05,Keycheck,Check keyboard shortcuts of 100+ apps,Productivity,User Experience,Developer Tools,,106,Free,2,4.5/5 ★,16,#17,#94
0,2024-02-05,Unboard,AI chat for teams,Marketing,SaaS,Artificial Intelligence,,75,Free Options,1,5/5 ★,13,#18,#107
0,2024-02-05,StaticHost,Easiest way to host your static website,SaaS,Developer Tools,Tech,,70,Free Options,0,,41,#19,#106
0,2024-02-05,Personal Cybersecurity Assistant,Your go-to assistant to improve your online security,Productivity,Privacy,Security,,55,Free Options,0,,15,#20,#121
